sim,front,mid,back,lat_left,lat_right,coronal,condition,GGP,GGM,GGA,STY,MH,HG,TRANS,VERT,SL,IL,JAW.OPEN,JAW.CLOSE
35970,0,0,0,2,1,0,5mm,0.1,0.25,0.1,0.1,0.1,0,0,0,0.25,0,0,0.0015
39374,0,0,0,2,1,0,5mm,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0.0015
39382,0,0,0,1,1,0,5mm,0.25,0,0,0,0,0,0,0.1,0.25,0.1,0,0.0015
39390,0,0,0,2,2,0,5mm,0.25,0,0,0,0,0,0,0.25,0.25,0,0,0.0015
39616,0,0,0,1,1,0,5mm,0.25,0,0,0,0.1,0,0,0,0.25,0.1,0,0.0015
39624,0,0,0,2,2,0,5mm,0.25,0,0,0,0.1,0,0,0.1,0.25,0,0,0.0015
39662,0,0,0,1,1,0,5mm,0.25,0,0,0,0.1,0,0.1,0.25,0.25,0.25,0,0.0015
39853,0,0,0,2,2,0,5mm,0.25,0,0,0,0.25,0,0,0,0,0.1,0,0.0015
39869,0,0,0,2,2,0,5mm,0.25,0,0,0,0.25,0,0,0.1,0.25,0.25,0,0.0015
39877,0,0,0,3,4,0,5mm,0.25,0,0,0,0.25,0,0,0.25,0.25,0.1,0,0.0015
39885,2,7,0,1,1,8,5mm,0.25,0,0,0,0.25,0,0.1,0,0.25,0,0,0.0015
40371,0,0,0,1,1,0,5mm,0.25,0,0,0.1,0.1,0,0.1,0,0.25,0,0,0.0015
41577,0,0,0,1,1,0,5mm,0.25,0,0.1,0,0,0,0,0.25,0.25,0,0,0.0015
41802,0,0,0,2,1,0,5mm,0.25,0,0.1,0,0.1,0,0,0,0.25,0,0,0.0015
41818,0,0,0,1,1,0,5mm,0.25,0,0.1,0,0.1,0,0,0.25,0.1,0.1,0,0.0015
42065,0,0,0,1,1,0,5mm,0.25,0,0.1,0,0.25,0,0,0.25,0.25,0.25,0,0.0015
42531,0,0,0,2,1,0,5mm,0.25,0,0.1,0.1,0.1,0,0,0,0.25,0,0,0.0015
42772,0,0,0,1,1,0,5mm,0.25,0,0.1,0.1,0.25,0,0,0,0.1,0.1,0,0.0015
43761,0,0,0,1,1,0,5mm,0.25,0,0.25,0,0,0,0,0.25,0.1,0,0,0.0015
43999,0,0,0,1,1,0,5mm,0.25,0,0.25,0,0.1,0,0,0.1,0.25,0.1,0,0.0015
44008,0,0,0,1,1,0,5mm,0.25,0,0.25,0,0.1,0,0,0.25,0.25,0.1,0,0.0015
44232,0,0,0,1,1,0,5mm,0.25,0,0.25,0,0.25,0,0,0,0.25,0,0,0.0015
44248,0,0,0,1,1,0,5mm,0.25,0,0.25,0,0.25,0,0,0.25,0.1,0.1,0,0.0015
44956,0,0,0,1,1,0,5mm,0.25,0,0.25,0.1,0.25,0,0,0,0,0.1,0,0.0015
46178,0,0,0,2,2,0,5mm,0.25,0.1,0,0,0.1,0,0,0,0.25,0.25,0,0.0015
46186,0,0,0,3,2,0,5mm,0.25,0.1,0,0,0.1,0,0,0.1,0.25,0.1,0,0.0015
46194,0,0,0,3,3,0,5mm,0.25,0.1,0,0,0.1,0,0,0.25,0.25,0,0,0.0015
46424,0,0,0,2,3,0,5mm,0.25,0.1,0,0,0.25,0,0,0.1,0,0.25,0,0.0015
46507,0,0,0,1,1,0,5mm,0.25,0.1,0,0,0.25,0.1,0,0.1,0.1,0.1,0,0.0015
47146,0,0,0,2,2,0,5mm,0.25,0.1,0,0.1,0.25,0,0,0,0.1,0.1,0,0.0015
47163,0,0,0,2,3,0,5mm,0.25,0.1,0,0.1,0.25,0,0,0.25,0.1,0,0,0.0015
48126,0,0,0,1,1,0,5mm,0.25,0.1,0.1,0,0,0,0,0.1,0.1,0,0,0.0015
48608,0,0,0,4,3,0,5mm,0.25,0.1,0.1,0,0.25,0,0,0,0.25,0.25,0,0.0015
48616,0,0,0,2,1,0,5mm,0.25,0.1,0.1,0,0.25,0,0,0.1,0.25,0.1,0,0.0015
48624,0,0,0,2,2,0,5mm,0.25,0.1,0.1,0,0.25,0,0,0.25,0.25,0,0,0.0015
49332,0,0,0,1,1,0,5mm,0.25,0.1,0.1,0.1,0.25,0,0,0,0.1,0,0,0.0015
49339,0,0,0,1,2,0,5mm,0.25,0.1,0.1,0.1,0.25,0,0,0.1,0,0.1,0,0.0015
49349,0,0,0,1,2,0,5mm,0.25,0.1,0.1,0.1,0.25,0,0,0.25,0,0.25,0,0.0015
50324,0,0,0,1,1,0,5mm,0.25,0.1,0.25,0,0,0,0,0.25,0.1,0.25,0,0.0015
50550,0,0,0,1,1,0,5mm,0.25,0.1,0.25,0,0.1,0,0,0,0.25,0,0,0.0015
50558,0,0,0,1,1,0,5mm,0.25,0.1,0.25,0,0.1,0,0,0.1,0.1,0.25,0,0.0015
50564,0,0,0,1,1,0,5mm,0.25,0.1,0.25,0,0.1,0,0,0.25,0,0.25,0,0.0015
50804,0,0,0,1,1,0,5mm,0.25,0.1,0.25,0,0.25,0,0,0.1,0.25,0.25,0,0.0015
50812,0,0,0,1,1,0,5mm,0.25,0.1,0.25,0,0.25,0,0,0.25,0.25,0.1,0,0.0015
52494,0,0,0,2,2,0,5mm,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0.0015
52510,0,0,0,2,2,0,5mm,0.25,0.25,0,0,0,0,0,0.25,0.1,0.1,0,0.0015
52737,0,0,0,4,4,0,5mm,0.25,0.25,0,0,0.1,0,0,0,0.25,0,0,0.0015
52976,0,0,0,1,2,0,5mm,0.25,0.25,0,0,0.25,0,0,0,0,0.25,0,0.0015
53000,0,0,0,3,4,0,5mm,0.25,0.25,0,0,0.25,0,0,0.25,0.25,0.25,0,0.0015
53008,0,0,0,2,2,0,5mm,0.25,0.25,0,0,0.25,0,0.1,0,0.25,0.1,0,0.0015
53225,0,0,0,1,1,0,5mm,0.25,0.25,0,0.1,0,0,0,0,0.25,0.25,0,0.0015
53233,0,0,0,2,2,0,5mm,0.25,0.25,0,0.1,0,0,0,0.1,0.25,0.1,0,0.0015
53241,0,0,0,1,1,0,5mm,0.25,0.25,0,0.1,0,0,0,0.25,0.25,0,0,0.0015
53467,0,0,0,1,1,0,5mm,0.25,0.25,0,0.1,0.1,0,0,0,0.25,0.1,0,0.0015
53476,0,0,0,2,2,0,5mm,0.25,0.25,0,0.1,0.1,0,0,0.1,0.25,0.1,0,0.0015
53484,0,0,0,2,3,0,5mm,0.25,0.25,0,0.1,0.1,0,0,0.25,0.25,0,0,0.0015
53709,0,0,0,1,1,0,5mm,0.25,0.25,0,0.1,0.25,0,0,0,0.25,0,0,0.0015
53717,0,0,0,2,3,0,5mm,0.25,0.25,0,0.1,0.25,0,0,0.1,0.1,0.25,0,0.0015
53725,0,0,0,1,3,0,5mm,0.25,0.25,0,0.1,0.25,0,0,0.25,0.1,0.1,0,0.0015
54689,0,0,0,1,1,0,5mm,0.25,0.25,0.1,0,0,0,0,0.1,0.1,0.25,0,0.0015
54697,0,0,0,2,2,0,5mm,0.25,0.25,0.1,0,0,0,0,0.25,0.1,0.1,0,0.0015
55654,0,0,0,2,2,0,5mm,0.25,0.25,0.1,0.1,0.1,0,0,0,0.25,0.1,0,0.0015
55895,0,0,0,1,2,0,5mm,0.25,0.25,0.1,0.1,0.25,0,0,0,0.1,0.25,0,0.0015
55905,0,0,0,3,4,0,5mm,0.25,0.25,0.1,0.1,0.25,0,0,0.1,0.25,0,0,0.0015
56643,0,0,0,1,1,0,5mm,0.25,0.25,0.1,0.25,0.25,0,0,0.25,0.25,0,0,0.0015
