,L_ANT,R_ANT,L_AG,R_AG,SL_ACT,HG_L,HG_R,SL,GGM_L,GGM_R,STY_L,STY_R,TRANS_L,TRANS_R,IL_L,IL_R,VERT_L,VERT_R,GGP_L,GGP_R,GGA_L,GGA_R,MH_L,MH_R
69,1.2,1,0.8,1,1.0,0.0,0.0,0.25,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.08,0.1,0.3,0.25,0.2,0.25
70,1.2,1,1.0,1,0.8,0.0,0.0,0.2,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.1,0.1,0.3,0.25,0.25,0.25
71,1.2,1,1.0,1,1.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.1,0.1,0.3,0.25,0.25,0.25
72,1.0,1,0.8,1,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0
73,1.0,1,0.8,1,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0
74,1.0,1,1.0,1,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
75,1.0,1,1.0,1,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
76,1.2,1,0.8,1,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0
77,1.2,1,0.8,1,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0
78,1.2,1,1.0,1,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
79,1.2,1,1.0,1,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
